Client,Feature,Category,MeanAbsSHAP
BAF,housing_status,identity,0.810671
BAF,income,identity,0.69149
BAF,device_os,device,0.610975
BAF,date_of_birth_distinct_emails_4w,identity,0.562175
BAF,customer_age,identity,0.476063
BAF,month,temporal,0.470346
BAF,phone_home_valid,identity,0.388906
BAF,current_address_months_count,account,0.364585
BAF,keep_alive_session,session,0.331691
BAF,payment_type,merchant,0.322648
BAF,has_other_cards,account,0.312739
BAF,name_email_similarity,identity,0.295781
BAF,email_is_free,identity,0.292198
BAF,bank_branch_count_8w,velocity,0.291593
BAF,bank_months_count,account,0.27381
BAF,proposed_credit_limit,account,0.263141
BAF,employment_status,identity,0.242422
BAF,prev_address_months_count,account,0.189918
BAF,credit_risk_score,risk_score,0.185557
BAF,intended_balcon_amount,amount,0.141974
BAF,zip_count_4w,velocity,0.132875
BAF,days_since_request,temporal,0.131769
BAF,velocity_4w,velocity,0.106924
BAF,session_length_in_minutes,session,0.105702
BAF,velocity_24h,velocity,0.096245
BAF,velocity_6h,velocity,0.064729
BAF,device_distinct_emails_8w,device,0.05341
BAF,phone_mobile_valid,identity,0.026268
BAF,foreign_request,session,0.013104
BAF,source,session,0.001682
BAF,device_fraud_count,device,0.0
Synthetic,velocity_score,velocity,0.867583
Synthetic,time_since_last_transaction,temporal,0.765524
Synthetic,merchant_category,merchant,0.708668
Synthetic,location,location,0.679276
Synthetic,device_used,device,0.231188
Synthetic,payment_channel,merchant,0.225092
Synthetic,geo_anomaly_score,location,0.110014
Synthetic,amount,amount,0.101503
Synthetic,transaction_type,merchant,0.09781
Synthetic,spending_deviation_score,amount,0.072711
ULB,V14,pca_anonymised,2.728685
ULB,V4,pca_anonymised,2.239904
ULB,V8,pca_anonymised,1.160212
ULB,V12,pca_anonymised,1.13242
ULB,V1,pca_anonymised,1.095699
ULB,V3,pca_anonymised,0.994177
ULB,V18,pca_anonymised,0.98793
ULB,V11,pca_anonymised,0.872033
ULB,V22,pca_anonymised,0.865041
ULB,Time,temporal,0.709024
ULB,V24,pca_anonymised,0.645472
ULB,V10,pca_anonymised,0.589584
ULB,V27,pca_anonymised,0.568358
ULB,V2,pca_anonymised,0.536394
ULB,V5,pca_anonymised,0.506466
ULB,V26,pca_anonymised,0.503549
ULB,V20,pca_anonymised,0.488837
ULB,V25,pca_anonymised,0.46341
ULB,V16,pca_anonymised,0.447551
ULB,V15,pca_anonymised,0.443498
ULB,V6,pca_anonymised,0.437198
ULB,V13,pca_anonymised,0.431708
ULB,V7,pca_anonymised,0.412096
ULB,V19,pca_anonymised,0.386559
ULB,V23,pca_anonymised,0.385103
ULB,V28,pca_anonymised,0.374003
ULB,V17,pca_anonymised,0.315985
ULB,V9,pca_anonymised,0.308715
ULB,Amount,amount,0.305332
ULB,V21,pca_anonymised,0.271739
