Dataset,Rank,Feature,MeanAbsSHAP
ULB,1,V14,2.728685
ULB,2,V4,2.239904
ULB,3,V8,1.160212
ULB,4,V12,1.13242
ULB,5,V1,1.095699
ULB,6,V3,0.994177
ULB,7,V18,0.98793
ULB,8,V11,0.872033
ULB,9,V22,0.865041
ULB,10,Time,0.709024
BAF,1,housing_status,0.810671
BAF,2,income,0.69149
BAF,3,device_os,0.610975
BAF,4,date_of_birth_distinct_emails_4w,0.562175
BAF,5,customer_age,0.476063
BAF,6,month,0.470346
BAF,7,phone_home_valid,0.388906
BAF,8,current_address_months_count,0.364585
BAF,9,keep_alive_session,0.331691
BAF,10,payment_type,0.322648
Synthetic,1,velocity_score,0.867583
Synthetic,2,time_since_last_transaction,0.765524
Synthetic,3,merchant_category,0.708668
Synthetic,4,location,0.679276
Synthetic,5,device_used,0.231188
Synthetic,6,payment_channel,0.225092
Synthetic,7,geo_anomaly_score,0.110014
Synthetic,8,amount,0.101503
Synthetic,9,transaction_type,0.09781
Synthetic,10,spending_deviation_score,0.072711
